name-of-company,name-of-job,location,salary,tech
ProIT Inc.4.9,Python Engineer,"Austin, TX",$65.00 - $68.00 Per Hour (Employer est.),Python
HCL America Inc3.6,Python Automation Tester,"Austin, TX",$89K - $117K (Employer est.),Python
Technology Navigators3.2,"Software Engineer, Senior - Python, AWS [HYBRID]","Austin, TX",$91K - $145K (Glassdoor est.),Python
"LeanDNA, Inc.",Machine Learning Engineer,"Austin, TX",$115K - $161K (Glassdoor est.),Python
Ansys4.2,R&D Engineer II - High Performance GPU Development,"Austin, TX",$106K - $153K (Glassdoor est.),Python
Kestra Financial,DevSecOps Engineer,"Austin, TX",$89K - $107K (Employer est.),Python
Infoyogi LLC3.2,Compatibility Tester - Junior,"Austin, TX",$25.00 - $27.00 Per Hour (Employer est.),Python
Wayfair3.1,Software Engineer I - Summer 2024,"Austin, TX",,Python
Ansys4.2,Senior R&D Engineer,"Austin, TX",$97K - $129K (Glassdoor est.),Python
"ALL OPTIONS USA, LLC",Junior Quant Trader,"Austin, TX",,Python
Divish LLC,ETL Developer,"Austin, TX",$65.00 Per Hour (Employer est.),Python
Boston Technology4.6,Linux Systems Administrator,"Austin, TX",$44.89 - $55.06 Per Hour (Employer est.),Python
Technology Navigators3.2,"DevOps Engineer, Senior- Python, AWS, Linux [HYBRID]","Austin, TX",$106K - $150K (Glassdoor est.),Python
Q1 Technologies3.4,Machine Learning Engineer,"Austin, TX",$120K - $130K (Employer est.),Python
"Signature Science, LLC3.6",Data Scientist,"Austin, TX",$82K - $116K (Glassdoor est.),Python
LCRA3.9,"Engineer (Electrical - Transmission Planning) - Hybrid, Austin, TX","Austin, TX",$82K - $120K (Employer est.),Python
"LeanDNA, Inc.",Backend Developer,"Austin, TX",$95K - $141K (Glassdoor est.),Python
,,,,Python
"Computational Physics, Inc.4.1",Optical astronomer,"Washington, DC",$72K - $119K (Glassdoor est.),Python
"Computational Physics, Inc.4.1",orbital scientist or engineer,"Washington, DC",$69K - $99K (Glassdoor est.),Python
Antietam Technologies Inc..,Firewall Engineer - Senior,"Washington, DC",$130K - $145K (Employer est.),Python
Athios,RF Engineer,"Washington, DC",$75K - $85K (Employer est.),Python
Que Technology Group4.7,Software Engineer - Level 2 (Dept 17) 329,"Fort Meade, MD",$66K - $104K (Glassdoor est.),Python
NDi1.6,Network Architect,"Washington, DC",$88K - $140K (Glassdoor est.),Python
Voyager Tech Group LLC,Lead Penetration Tester,"Arlington, VA",$165K (Employer est.),Python
OneGlobe LLC4.5,Data Architect,"Reston, VA",$88K - $124K (Glassdoor est.),Python
Information Technology Services,CSSP Auditor,"Arlington, VA",$98K - $130K (Employer est.),Python
Millennial Software5.0,Python Developer TS/SCI + Polygraph - 120 - 200k + 15% 401k,"McLean, VA",$120K - $200K (Employer est.),Python
quick Services LLC4.4,cartographic Analyst,"Springfield, VA",$74K - $81K (Employer est.),Python
Millennial Software5.0,Mid LevelCyber Security Developer TS/SCI with Poly $130K - $170k + 15% 401k,"Chantilly, VA",$100K - $170K (Employer est.),Python
Blue Ridge Envisioneering,FPGA Engineer,"Chantilly, VA",$120K (Employer est.),Python
Millennial Software5.0,ArcGIS Administrator TS/SCI + Polygraph $120K - $190k + 15% 401k,"Chantilly, VA",$120K - $190K (Employer est.),Python
Millennial Software5.0,ETL Developer TS/SCI + Polygraph $120K - $200k + 15% 401k,"McLean, VA",$100K - $200K (Employer est.),Python
Millennial Software5.0,System Administrator TS/SCI + Polygraph $100K- $180K + 15% 401k,"Laurel, MD",$100K - $180K (Employer est.),Python
Millennial Software5.0,Mid-Senior Java Developer TS/SCI + Polygraph - 170 - 220k + 15% 401k,"McLean, VA",$170K - $220K (Employer est.),Python
"Woodsong Technologies, LLC",Embedded Developer,"Fort Meade, MD",$100K - $130K (Employer est.),Python
DCI Solutions3.6,FSR Analyst,"Washington, DC",$120K - $160K (Employer est.),Python
Eighty20 Collective,Sr. Python Developer - TS Clearance Required,"Sterling, VA",$160K (Employer est.),Python
OnDek Solutions,Software Engineer,"Annapolis Junction, MD",$150K - $200K (Employer est.),Python
Vexterra Group4.5,Senior Systems Engineer (TS/SCI)- LEAD,"Bethesda, MD",$140K - $200K (Employer est.),Python
Millennial Software5.0,Java Developer TS/SCI + Polygraph $130K - $220k + 15% 401k,"Chantilly, VA",$120K - $220K (Employer est.),Python
Millennial Software5.0,Software Engineer TS/SCI with Poly $130K - $220k + 15% 401k,"Chantilly, VA",$100K - $220K (Employer est.),Python
"Trinity Global Consulting, LLC5.0",Process Improvement Engineer,"Springfield, VA",$130K - $150K (Employer est.),Python
