name-of-company,name-of-job,location,salary,tech
Qualcomm4.0,Sr. DevOps Engineer (Git/Gerrit),"San Diego, CA",$45.50 - $68.24 Per Hour (Employer est.),Ruby
ICW Group3.8,Full Stack Engineer (San Diego - Java Sprint Boot),"San Diego, CA",$82K - $129K (Glassdoor est.),Ruby
Abalta Technologies Inc3.8,Software Engineer – C++/Java/Linux/Android,"San Diego, CA",$70K - $120K (Employer est.),Ruby
Rockstar Games4.2,Senior Build Engineer,"San Diego, CA",$121K - $162K (Employer est.),Ruby
Axos Bank3.5,DevOps Engineer,"San Diego, CA",$88K - $127K (Glassdoor est.),Ruby
AppFolio3.9,Software Engineer - Enterprise Systems,"San Diego, CA",$106K - $125K (Employer est.),Ruby
EDF Renewables4.1,DevOps Engineer,"San Diego, CA",$83K - $123K (Glassdoor est.),Ruby
Boeing Intelligence & Analytics4.2,Senior Software Engineer,United States,,Ruby
Tree Top Staffing LLC,DevOps Engineer,"San Diego, CA",$95K - $131K (Glassdoor est.),Ruby
Intuit4.4,Principal Software Engineer,"San Diego, CA",$155K - $198K (Glassdoor est.),Ruby
Apple4.2,Senior Security DevOps Engineer,"San Diego, CA",,Ruby
,,,,Ruby
Indie Printing,Web Developer,"Los Angeles, CA",,Ruby
sweetgreen3.4,"Software Engineer, Menu & Location","Los Angeles, CA",$120K - $145K (Employer est.),Ruby
The sulfur group3.1,Web Developer,"Los Angeles, CA",$56K - $103K (Glassdoor est.),Ruby
The DigiTrust Group3.0,Full Stack Developer,"Los Angeles, CA",$65K - $117K (Glassdoor est.),Ruby
Super Bit Machine5.0,DEV-OPS ENGINEER,"Santa Monica, CA",$88K - $134K (Glassdoor est.),Ruby
Tollfreeforwarding.com3.9,DevOps Engineer,"Los Angeles, CA",$87K - $143K (Glassdoor est.),Ruby
USC4.3,Software Engineer,"Los Angeles, CA",$105K - $115K (Employer est.),Ruby
Northrop Grumman4.0,Principal / Sr. Principal Software Engineer - Top Secret Clearance Required,"Woodland Hills, CA",$105K - $157K (Employer est.),Ruby
Northrop Grumman4.0,Staff DevOps Engineer (PGS Space Systems - Storm-1),"Redondo Beach, CA",$161K - $241K (Employer est.),Ruby
Northrop Grumman4.0,Staff Software Engineer - Top Secret Clearance Required,"Woodland Hills, CA",$161K - $241K (Employer est.),Ruby
StackCommerce3.6,Full Stack Engineer,"Venice, CA",$102K - $138K (Employer est.),Ruby
OpenPlay,Senior Ruby Engineer,"Santa Monica, CA",$110K - $180K (Glassdoor est.),Ruby
Tencent4.0,DevOps Engineer (Site Reliability),"Los Angeles, CA",$70K - $156K (Employer est.),Ruby
Coalition Technologies4.4,SHOPIFY DEVELOPER,"Culver City, CA",$15.00 - $35.00 Per Hour (Employer est.),Ruby
America's Next Investment,Full Stack Web Developer,"Woodland Hills, CA",$55K - $67K (Employer est.),Ruby
VYNYL4.0,Experienced Software Developer,"Los Angeles, CA",$86K - $140K (Glassdoor est.),Ruby
O Positiv,"Senior Software Engineer, E-Commerce","Santa Monica, CA",$140K - $150K (Employer est.),Ruby
Musicow,Full Stack Developer,"Beverly Hills, CA",$100K - $200K (Employer est.),Ruby
TikTok3.4,"Site Reliability Engineer, Product - USDS","Los Angeles, CA",$119K - $289K (Employer est.),Ruby
Spokeo4.0,UI Developer,"Pasadena, CA",$115K - $145K (Employer est.),Ruby
MyTime2.7,Senior Full Stack Engineer (Ruby),"Los Angeles, CA",$129K - $180K (Glassdoor est.),Ruby
Wondros3.4,DevOps Engineer,"Los Angeles, CA",$85K - $136K (Glassdoor est.),Ruby
BallerTV3.5,Full-Stack Software Engineer - React/React Native,"Pasadena, CA",$73K - $115K (Glassdoor est.),Ruby
Los Angeles County Department of Human Resources3.3,SENIOR APPLICATION DEVELOPER,United States,$97K - $130K (Employer est.),Ruby
Disney3.9,Sr. Software Engineer,"Burbank, CA",$136K - $182K (Employer est.),Ruby
Tencent4.0,Senior Site Reliability Engineer,"Los Angeles, CA",$97K - $200K (Employer est.),Ruby
Spokeo4.0,"Software Developer, Analytics","Pasadena, CA",$115K - $145K (Employer est.),Ruby
StackCommerce3.6,Senior Full Stack Engineer (Search and Performance Focus),"Venice, CA",$167K - $196K (Employer est.),Ruby
SpaceX3.9,Software Engineer (Falcon),"Hawthorne, CA",$120K - $145K (Employer est.),Ruby
Northrop Grumman4.0,Northrop Grumman (DoD SkillBridge) – Software Engineer,"Woodland Hills, CA",$85K - $127K (Employer est.),Ruby
,,,,Ruby
WeInfuse4.0,Senior Software Developer (6+ Years Software Development Exp. Req.),"Austin, TX",$120K - $140K (Employer est.),Ruby
PLACE Corporate Careers3.7,Ruby Developer,"Austin, TX",$110K - $140K (Employer est.),Ruby
Tesla3.6,"Threat Analyst, Cybercrime","Austin, TX",,Ruby
Proximity Learning Inc.3.9,Ruby on Rails Developer,"Austin, TX",$63K - $105K (Glassdoor est.),Ruby
Visa4.1,Staff Site Reliability Engineer,"Austin, TX",$98K - $133K (Glassdoor est.),Ruby
Apple4.2,Graphics Verification Engineer - Shader Core,"Austin, TX",,Ruby
Neuralink3.9,"Software Engineer, Lab Systems","Austin, TX",$101K - $142K (Glassdoor est.),Ruby
CrowdHealth,Sr Back-End Developer,"Austin, TX",$75K - $160K (Employer est.),Ruby
VYNYL4.0,Experienced Software Developer,"Austin, TX",$78K - $123K (Glassdoor est.),Ruby
"PMCS Services, Inc4.5",DevOps Architect,"Austin, TX",$75.00 - $85.00 Per Hour (Employer est.),Ruby
Highlight Technologies4.6,Full Stack React/Rails Developer - REMOTE,United States,,Ruby
Current4.3,DevOps Lead,"Round Rock, TX",$160K - $180K (Employer est.),Ruby
Tesla3.6,"Staff Software Engineer, Distributed Systems, Build Infrastructure","Austin, TX",,Ruby
Apple4.2,Graphics Verification Engineer - Shader Core,"Austin, TX",,Ruby
Dimensional Fund Advisors3.8,Full Stack Software Engineer (Remote Work Eligible),"Austin, TX",$66K - $96K (Glassdoor est.),Ruby
InMarket4.1,Full Stack Software Engineer,"Austin, TX",$108K - $147K (Employer est.),Ruby
Accruent3.5,Software Engineer in Test II,"Austin, TX",$98K - $182K (Employer est.),Ruby
"PMCS Services, Inc4.5",AWS DevOps Architect,"Austin, TX",$75.00 - $85.00 Per Hour (Employer est.),Ruby
Dutech Systems4.5,DevOps Engineer,"Austin, TX",$89K - $118K (Glassdoor est.),Ruby
Tree Top Staffing LLC,DevOps Engineer,"Austin, TX",$91K - $121K (Glassdoor est.),Ruby
Apple4.2,"DevOps Engineer - PLM, Enterprise Technology Services","Austin, TX",,Ruby
Stride Travel4.8,Rails/React Engineer (full stack),"Austin, TX",$69K - $122K (Glassdoor est.),Ruby
Travel + Leisure Co.3.9,Fullstack Engineer,"Austin, TX",$91K - $149K (Glassdoor est.),Ruby
Cirrus Logic4.1,Senior Software Engineer,"Austin, TX",$114K - $155K (Glassdoor est.),Ruby
2K3.5,Staff Site Reliability Engineer,"Austin, TX",$125K - $190K (Employer est.),Ruby
WeInfuse4.0,Senior Software Developer,"Austin, TX",$120K - $140K (Employer est.),Ruby
Dutech Systems4.5,Software Developer,"Austin, TX",$87K - $107K (Glassdoor est.),Ruby
Vsion Technologies4.6,Senior Software Engineer,"Cedar Park, TX",$83K - $127K (Glassdoor est.),Ruby
Apple4.2,Senior Security DevOps Engineer,"Austin, TX",,Ruby
Anomali3.3,Senior DevOps Engineer (USA Remote),"Austin, TX",$99K - $137K (Glassdoor est.),Ruby
,,,,Ruby
Eighty20 Collective,Sr. Python Developer - TS Clearance Required,"Sterling, VA",$160K (Employer est.),Ruby
Technology Ventures3.4,Java/Python Developer,"McLean, VA",$89K - $125K (Glassdoor est.),Ruby
National Security Agency3.8,"Engineer/Developer - Software, Hardware, Research (Capabilities Development Specialist)","Fort Meade, MD",$81K - $184K (Employer est.),Ruby
"Stillwater Human Capital, LLC.3.4",Software Developer,"Washington, DC",$81K - $124K (Glassdoor est.),Ruby
Potomac Hospitality Group,Crew Member Ruby's So.Co.,"Bowie, MD",$37K - $54K (Glassdoor est.),Ruby
Soft Tech Consulting3.9,Application Developer,United States,,Ruby
Redcley4.3,Ruby Engineer,United States,,Ruby
Radius Networks4.8,Ruby on Rails Developer,Georgetown,$80K - $180K (Employer est.),Ruby
Datasync Techonlogies Inc4.9,Full Stack Developer FSD21-1,"McLean, VA",$95K - $136K (Glassdoor est.),Ruby
Govcio LLC3.0,Back-End Ruby Developer (Remote),"Fairfax, VA",$115K - $130K (Employer est.),Ruby
OPULENTSOFT4.3,Ruby on Rails Architect,"Washington, DC",,Ruby
Valex LLC4.3,Web Application Developer,"Washington, DC",$85K - $125K (Glassdoor est.),Ruby
Figure Eight Federal,Full Stack Engineer (Ruby exp),"Arlington, VA",$68K - $116K (Glassdoor est.),Ruby
Cat software service4.0,Application Developer,United States,$41.96 - $50.00 Per Hour (Employer est.),Ruby
BlueWater Federal Solutions4.4,Web and Application Developer,"Washington, DC",$82K - $115K (Glassdoor est.),Ruby
Peraton3.6,Software Engineer 2,"Laurel, MD",$146K - $234K (Employer est.),Ruby
EGlobalTech3.8,Web Developer,"Washington, DC",$64K - $93K (Glassdoor est.),Ruby
Redcley4.3,Mobile Developers,United States,,Ruby
Eagleforce Associates,Computer Programmer,"Herndon, VA",$53K - $91K (Glassdoor est.),Ruby
CodeIntelx,Software Engineer,"Washington, DC",,Ruby
"Berkeley Research Group, LLC3.8","Software Engineering Manager, 340b","Washington, DC",$250K - $350K (Employer est.),Ruby
Jacobs4.0,Software Engineer,"Chantilly, VA",$92K - $132K (Glassdoor est.),Ruby
Red Arch Solutions4.8,Software Engineer (Partial telework),United States,,Ruby
Ellumen3.9,DevOps Engineer,"Silver Spring, MD",$105K - $120K (Employer est.),Ruby
TheWiseSeeker3.2,"Senior Web Developer, Ruby/RoR","Chantilly, VA",$150K - $190K (Employer est.),Ruby
Qrvey4.7,Backend Developer,United States,,Ruby
Peraton3.6,Software Engineer 3,"Laurel, MD",$190K - $304K (Employer est.),Ruby
B4CORP5.0,"2025010 Sr. Full Stack Developer $230,000.00","Reston, VA",$10K (Employer est.),Ruby
IBM3.9,Web Developer,"Washington, DC",$83K - $135K (Glassdoor est.),Ruby
Illuminate Mission Solutions3.5,Applications Development Support,"McLean, VA",$89K - $126K (Glassdoor est.),Ruby
,,,,Ruby
Little Ruby's Cafe5.0,Sous Chef - Little Ruby's Cafe,"New York, NY",$60K (Employer est.),Ruby
Nixon Webtech,Web Developer,"New York, NY",$60K - $110K (Employer est.),Ruby
ProIT Inc.4.9,Ruby Developer,"New York, NY",$39.60 - $70.83 Per Hour (Employer est.),Ruby
MealPal3.0,Backend Engineer,"New York, NY",$100K - $130K (Employer est.),Ruby
Fubo3.3,"Software Engineer, Streaming Media Content","New York, NY",$140K (Employer est.),Ruby
Perchwell4.2,Software Engineer,"New York, NY",$110K - $145K (Employer est.),Ruby
JPM Global1.0,Expert Ruby on Rails Programmer,United States,,Ruby
Metropolitan Transportation Authority3.6,Software Engineer Specialist,"New York, NY",$109K - $131K (Employer est.),Ruby
Justworks3.8,Software Engineer,United States,$115K - $155K (Employer est.),Ruby
Jun Group4.0,"Ruby on Rails Engineer, Server-Side (Contract)","New York, NY",$25.00 - $70.00 Per Hour (Employer est.),Ruby
Devpost,Full-stack Rails Engineer,"New York, NY",$75K - $150K (Employer est.),Ruby
OpenVault5.0,QA / Deployment Engineer,"Jersey City, NJ",$71K - $100K (Glassdoor est.),Ruby
FreeWheel4.0,Sr Site Reliability Engineer,"New York, NY",$145K - $218K (Employer est.),Ruby
Comcast3.7,Sr Site Reliability Engineer,"New York, NY",$145K - $218K (Employer est.),Ruby
Justworks3.8,"Senior Software Engineer, Time & Attendance","New York, NY",$168K - $205K (Employer est.),Ruby
Rowan Technology,Full Stack Developer,United States,$110K - $140K (Employer est.),Ruby
Taskrabbit3.6,"Senior Software Engineer, Partnerships","New York, NY",$115K - $160K (Employer est.),Ruby
Justworks3.8,"Software Engineer, Benefits Platform","New York, NY",$115K - $155K (Employer est.),Ruby
Envoy2.1,Fullstack Software Engineer,"New York, NY",$170K - $200K (Employer est.),Ruby
Enthsquare3.2,Software Developer,"Hasbrouck Heights, NJ",$89K - $107K (Glassdoor est.),Ruby
Republic4.3,"Software Engineer, X-Team","New York, NY",$120K - $150K (Employer est.),Ruby
StreetLight Data4.7,Senior Software Engineer,United States,$120K - $150K (Employer est.),Ruby
Realign LLC,Full Stack Engineers,"Berkeley Heights, NJ",$79K - $134K (Glassdoor est.),Ruby
Healthie3.5,Senior Full-Stack Developer,"New York, NY",$130K - $170K (Employer est.),Ruby
Justworks3.8,"Staff Software Engineer, Frontend Tech","New York, NY",$220K - $253K (Employer est.),Ruby
Millennium3.7,Platform Engineer - Kubernetes,"New York, NY",$175K - $250K (Employer est.),Ruby
Spring Health3.4,Senior Software Engineer,"New York, NY",$131K - $190K (Glassdoor est.),Ruby
Advanced technology Group Inc3.5,DevOps Engineer,"Jersey City, NJ",$90K - $130K (Glassdoor est.),Ruby
I5 TECH3.3,Ruby Developer,"Edison, NJ",$93K - $135K (Glassdoor est.),Ruby
Meta3.9,"Product Security Engineer, Web","New York, NY",$173K - $241K (Employer est.),Ruby
,,,,Ruby
University of North Carolina at Chapel Hill4.1,Full Stack Developer,"Chapel Hill, NC",$58K - $93K (Glassdoor est.),Ruby
NetApp4.0,"Director, Developer Platform Engineering","Research Triangle Park, NC",$117K - $158K (Glassdoor est.),Ruby
"Elegant Enterprise Wide Solutions, Inc.4.7",Software Engineer,"Durham, NC",$90K - $108K (Employer est.),Ruby
FlexGen4.3,Software Engineer,"Durham, NC",$74K - $106K (Glassdoor est.),Ruby
VITCTS,Java Full Stack Developer,"Morrisville, NC",$70K - $93K (Glassdoor est.),Ruby
DevCare Solutions3.6,Software Engineer,"Durham, NC",$81K - $116K (Glassdoor est.),Ruby
Salesforce4.0,Senior Full Stack Software Engineer,"Raleigh, NC",$111K - $145K (Glassdoor est.),Ruby
Cisco Systems4.3,Software Engineer,"Research Triangle Park, NC",$98K - $134K (Glassdoor est.),Ruby
Chainyard3.3,DevOps Engineer,"Raleigh, NC",$91K - $122K (Glassdoor est.),Ruby
Itron3.9,Senior Embedded Software Engineer,"Raleigh, NC",$98K - $130K (Glassdoor est.),Ruby
Cisco Systems4.3,Senior Software Engineer - Security,"Research Triangle Park, NC",$118K - $155K (Glassdoor est.),Ruby
Cisco Systems4.3,Senior Site Reliability Engineer - FedRamp,"Research Triangle Park, NC",$123K - $162K (Glassdoor est.),Ruby
Emergent Software4.7,Umbraco Software Engineer (C# & .NET),"Raleigh, NC",$102K - $123K (Employer est.),Ruby
Emergent Software4.7,Senior Software Architect (C# and .NET),"Raleigh, NC",$125K - $160K (Employer est.),Ruby
Smarsh2.7,Sr. Site Reliability and Security Engineer,"Raleigh, NC",$124K - $160K (Employer est.),Ruby
Xylem3.8,Senior DevOps Engineer,"Morrisville, NC",$117K - $145K (Employer est.),Ruby
,,,,Ruby
CiS Technologies,JavaScript/Typescript Backend Developer,"Denver, CO",$45.00 - $55.00 Per Hour (Employer est.),Ruby
Salesforce4.0,"Fullstack Software Engineer II, Slack","Denver, CO",$133K - $183K (Employer est.),Ruby
Business Integra Inc4.2,Junior Software Engineer,"Westminster, CO",$40.00 - $48.00 Per Hour (Employer est.),Ruby
Maxar Technologies3.3,Software Developer,"Westminster, CO",$79K - $131K (Employer est.),Ruby
CEDENT5.0,Software -Engineers,"Broomfield, CO",$60K - $97K (Glassdoor est.),Ruby
The Receptionist,Rails Developer,"Denver, CO",$125K - $150K (Employer est.),Ruby
4TS Media & Lodging,Website Developer,"Denver, CO",$50K - $85K (Employer est.),Ruby
Intuites LLC4.5,JavaScript / Typescript Developer,"Denver, CO",$55.00 Per Hour (Employer est.),Ruby
UST4.0,Lead JavaScript Developer,"Denver, CO",$76K - $114K (Employer est.),Ruby
Applanix4.2,"Software Engineer, Rotational Development Program","Westminster, CO",$70K - $91K (Employer est.),Ruby
Entegee3.6,Embedded Software Engineer,"Westminster, CO",$60.00 - $70.00 Per Hour (Employer est.),Ruby
Ball Aerospace3.9,Engineer Associate/Engineer I - Software,"Broomfield, CO",$73K - $102K (Glassdoor est.),Ruby
Aurochs Tech5.0,Ruby On Rails developer,"Englewood, CO",$75K - $119K (Glassdoor est.),Ruby
Lark IT5.0,DevOps Engineer,"Denver, CO",$82K - $117K (Glassdoor est.),Ruby
DPG Solutions,DevOps Architect,"Littleton, CO",$111K - $150K (Glassdoor est.),Ruby
Velocity Global3.5,Senior Software Engineer,"Denver, CO",$132K - $164K (Employer est.),Ruby
Ball Aerospace3.9,Engineer I / Engineer II - Ground Software Engineer,"Broomfield, CO",,Ruby
DCCA4.4,Software Engineer 1,United States,,Ruby
Highlight Technologies4.6,Full Stack React/Rails Developer - REMOTE,United States,,Ruby
DCCA4.4,Software Engineer 2,United States,,Ruby
CACI4.0,"Software Engineer, Python",United States,,Ruby
"Criterion Systems, Inc.4.1","Software Developer, Python","Denver, CO",$145K - $230K (Employer est.),Ruby
Proof4.8,"Senior Software Engineer, Frontend","Denver, CO",$120K - $140K (Employer est.),Ruby
McIntire Solutions4.0,DevOps Developer,"Aurora, CO",$91K - $130K (Glassdoor est.),Ruby
Salesforce4.0,Staff Product Security Engineer - Slack,"Denver, CO",$176K - $255K (Employer est.),Ruby
CACI4.0,"Software Engineer, Python",United States,,Ruby
Geologics Corporation4.4,Classified DevOps Engineer,"Aurora, CO",$79.50 Per Hour (Employer est.),Ruby
Ibotta3.6,Principal Software Engineer,"Denver, CO",$160K - $185K (Employer est.),Ruby
Credera4.2,Architect - Software Engineering,"Denver, CO",$137K - $165K (Employer est.),Ruby
Ibotta3.6,Principal Full Stack Engineer,"Denver, CO",$160K - $180K (Employer est.),Ruby
,,,,Ruby
Nebo Agency4.0,Ruby on Rails Engineer,"Atlanta, GA",$84K - $120K (Glassdoor est.),Ruby
Workday4.2,Software Development Engineer in SRE,"Atlanta, GA",$142K - $214K (Employer est.),Ruby
Software for Hardware,Technical Support Representative,"Atlanta, GA",$40K - $64K (Glassdoor est.),Ruby
Nebo Agency4.0,PHP / WordPress Engineer,"Atlanta, GA",,Ruby
New Relic3.7,Mid-Level Software Engineer - Backend (Remote),"Atlanta, GA",$114K - $142K (Employer est.),Ruby
Mastercard4.3,Full Stack Software Engineer II,"Atlanta, GA",$91K - $115K (Glassdoor est.),Ruby
Nebo Agency4.0,DevOps Engineer,"Atlanta, GA",$79K - $112K (Glassdoor est.),Ruby
Mastercard4.3,Software Engineer II,"Atlanta, GA",$97K - $115K (Glassdoor est.),Ruby
Kava LLC1.0,"Software Engineer, User Interface","Atlanta, GA",$71K - $113K (Glassdoor est.),Ruby
Workday4.2,Software Development Engineer III (DevOps),"Atlanta, GA",$118K - $178K (Employer est.),Ruby
Home Depot / THD3.8,Principal Software Engineer (Remote),"Atlanta, GA",$106K - $147K (Glassdoor est.),Ruby
Nebo Agency4.0,Magento Back-End Engineer,"Atlanta, GA",$64K - $109K (Glassdoor est.),Ruby
Workday4.2,Senior Devops Engineer,"Atlanta, GA",$142K - $214K (Employer est.),Ruby
TekValue IT Solutions,Mobile Engineer,"Atlanta, GA",$120K - $150K (Employer est.),Ruby
Intuites LLC4.5,Java/Android Developer (Backend),"Atlanta, GA",$74K - $112K (Glassdoor est.),Ruby
Home Depot / THD3.8,Software Engineer Manager,"Atlanta, GA",$108K - $147K (Glassdoor est.),Ruby
NCR3.5,Solutions Delivery Engineer,"Atlanta, GA",,Ruby
MHS3.7,LPS - Software Engineering III,"Atlanta, GA",$85K - $128K (Employer est.),Ruby
Intercontinental Exchange3.6,Software Development Engineer in Test,"Atlanta, GA",$84K - $113K (Glassdoor est.),Ruby
Workday4.2,(Sr) Software Development Engineer (DevOps/SRE),"Atlanta, GA",$142K - $214K (Employer est.),Ruby
Home Depot / THD3.8,"Software Engineer Principal, Store Systems (Remote)","Atlanta, GA",$86K - $128K (Glassdoor est.),Ruby
CEDENT5.0,DevOps Engineer,"Alpharetta, GA",$77K - $136K (Employer est.),Ruby
Credera4.2,Architect - Software Engineering,"Atlanta, GA",$91K - $137K (Glassdoor est.),Ruby
Meridian Cooperative3.2,Full Stack Developer II,"Dunwoody, GA",$110K - $130K (Employer est.),Ruby
Global Payments3.5,Devops Architect - Remote,"Alpharetta, GA",$86K - $125K (Glassdoor est.),Ruby
Travel + Leisure Co.3.9,Fullstack Engineer,"Atlanta, GA",$89K - $135K (Glassdoor est.),Ruby
LeaseQuery4.1,Senior Software Engineer (RoR),"Atlanta, GA",$107K - $140K (Glassdoor est.),Ruby
cove.tool3.3,Senior Backend Software Engineer,"Atlanta, GA",$102K - $167K (Glassdoor est.),Ruby
NCR Atleos3.5,Site Reliability Engineer,"Atlanta, GA",$94K - $130K (Glassdoor est.),Ruby
Honeywell4.0,Advanced Software Engineer (Sr Site Reliability Engineer),"Atlanta, GA",$95K - $130K (Glassdoor est.),Ruby
,,,,Ruby
Emergent Software4.7,Umbraco Software Engineer (C# & .NET),"Chicago, IL",$102K - $123K (Employer est.),Ruby
Allstate3.5,Software Engineer,"Chicago, IL",$62K - $106K (Employer est.),Ruby
Fooda3.8,Full Stack Engineer,"Chicago, IL",$83K - $125K (Glassdoor est.),Ruby
Wellspring3.5,Software Engineer,"Chicago, IL",$105K - $140K (Glassdoor est.),Ruby
Rent Butter,Full Stack Ruby Developer,"Chicago, IL",,Ruby
Cboe4.4,Senior Site Reliability Engineer - Remote or Flexible Hybrid,"Chicago, IL",$103K - $160K (Glassdoor est.),Ruby
Beyond Finance3.8,Software Engineer in Test,"Chicago, IL",$82K - $114K (Glassdoor est.),Ruby
Braze4.1,Staff Site Reliability Engineer,"Chicago, IL",$192K - $261K (Employer est.),Ruby
Nutrisense,Sr. Full Stack Software Engineer,"Chicago, IL",$81K - $130K (Glassdoor est.),Ruby
Allstate3.5,Lead Full Stack Software Engineer - Java/Products - Remote,"Chicago, IL",$82K - $146K (Employer est.),Ruby
Jellyvision3.9,Data Engineer,"Chicago, IL",$105K - $129K (Employer est.),Ruby
Beyond Finance3.8,Software Engineer II,"Chicago, IL",$101K - $118K (Glassdoor est.),Ruby
Reveal4.4,Site Reliability Engineer,"Chicago, IL",$93K - $135K (Glassdoor est.),Ruby
StockX3.6,Senior Software Engineer (Back End) - Power User Solutions,"Chicago, IL",$135K - $155K (Employer est.),Ruby
Sprout Social4.2,Site Reliability Engineer,"Chicago, IL",$125K - $145K (Employer est.),Ruby
Foxbox Digital4.3,Mobile Engineer/Flutter- LATAM Hourly,"Chicago, IL",$67K - $94K (Glassdoor est.),Ruby
Highlight Technologies4.6,Full Stack React/Rails Developer - REMOTE,United States,,Ruby
Ivy Tech Solutions inc3.6,Ruby On Rails Developer,"Chicago, IL",$68K - $112K (Glassdoor est.),Ruby
Credera4.2,Senior Software Engineer - Software Engineering,"Chicago, IL",$105K - $142K (Glassdoor est.),Ruby
EY3.9,Oracle Services - C2M/CC&B Designer/Developer - Manager - US Consulting - Open Location,"Chicago, IL",$85K - $122K (Glassdoor est.),Ruby
Salesforce4.0,Lead/Principal Technical Architect,"Chicago, IL",$116K - $252K (Employer est.),Ruby
Credera4.2,Architect - Software Engineering,"Chicago, IL",$94K - $142K (Glassdoor est.),Ruby
Above Lending2.8,Senior Front End Engineer,"Chicago, IL",$103K - $146K (Glassdoor est.),Ruby
Roy Talman & Associates5.0,CryptoCurrency- Software Engineer,"Chicago, IL",$78K - $122K (Glassdoor est.),Ruby
Beyond Finance3.8,Lead Software Engineer,"Chicago, IL",$137K - $165K (Glassdoor est.),Ruby
Above Lending2.8,Senior DevOps Engineer,"Chicago, IL",$102K - $141K (Glassdoor est.),Ruby
Beyond Finance3.8,Senior DevOps Engineer,"Chicago, IL",$106K - $147K (Glassdoor est.),Ruby
CRATE & BARREL3.4,"Lead Developer, API (Warehouse & Logistics)","Northbrook, IL",$57K - $82K (Glassdoor est.),Ruby
Northwestern University4.1,Developer Lead,"Evanston, IL",,Ruby
Vail Systems Inc.3.5,"Software Engineer, IVR - Versay","Chicago, IL",$81K - $117K (Glassdoor est.),Ruby
,,,,Ruby
Venn Technology5.0,Senior Ruby on Rails Developer,"Grapevine, TX",$73K - $116K (Glassdoor est.),Ruby
The One Network1.0,Software Developer,"Dallas, TX",$87K - $113K (Glassdoor est.),Ruby
HCSC,Sr. Front End JAVA developer,"Richardson, TX",$79K - $110K (Glassdoor est.),Ruby
JSL Marketing & Web Design,Senior Full Stack Web Developer,"Dallas, TX",,Ruby
The Wise Seeker Services3.2,Software developer-EEUU,"Dallas, TX",$69K - $111K (Glassdoor est.),Ruby
Copart3.7,Software Engineer,"Dallas, TX",$85K - $119K (Glassdoor est.),Ruby
AppFolio3.9,Software Engineer - Enterprise Systems,"Dallas, TX",$106K - $125K (Employer est.),Ruby
Priceline.com4.0,"Manager, Software Development","Dallas, TX",$130K - $160K (Employer est.),Ruby
Sabre3.7,Site Reliability Engineer,Dallas-Fort Worth,$97K - $131K (Glassdoor est.),Ruby
Photon3.8,API Developer,"Dallas, TX",$84K - $111K (Glassdoor est.),Ruby
Priceline.com4.0,Software Engineer (Ruby on Rails/ Golang),"Dallas, TX",$100K - $125K (Employer est.),Ruby
Priceline.com4.0,Site Reliability Engineer,"Dallas, TX",$95K - $120K (Employer est.),Ruby
Pennymac3.1,Senior Application Developer,"Plano, TX",$90K - $150K (Employer est.),Ruby
G-Research3.8,Kubernetes Engineer,"Dallas, TX",,Ruby
Venn Technology5.0,Ruby on Rails Developer,"Grapevine, TX",$86K - $116K (Glassdoor est.),Ruby
VYNYL4.0,Experienced Software Developer,"Dallas, TX",$74K - $116K (Glassdoor est.),Ruby
Fission Labs4.4,"Software Developer -(Java, Micro Services, Cloud)","Dallas, TX",$75K - $106K (Glassdoor est.),Ruby
Numero Solutions,"Software Developer, Systems Software","Irving, TX",$101K - $127K (Glassdoor est.),Ruby
Vox Technologies3.4,Full-Stack Developer,"Richardson, TX",$65K - $96K (Glassdoor est.),Ruby
GM Financial3.8,Kubernetes Engineer,"Arlington, TX",$46.88 - $89.13 Per Hour (Employer est.),Ruby
Priceline.com4.0,Dev Ops Engineer,"Dallas, TX",$105K - $125K (Employer est.),Ruby
Cheil Dallas3.2,Full Stack Developer,"Plano, TX",$68K - $117K (Glassdoor est.),Ruby
ViaOne Services4.4,Communications Systems Full Stack Software Developer (Sponsorship Unavailable at this Time),"Dallas, TX",$70K - $90K (Employer est.),Ruby
Sirius XM3.5,Senior Software Engineer,"Irving, TX",$102K - $139K (Glassdoor est.),Ruby
PMG3.2,Site Reliability Engineer,"Dallas, TX",$86K - $119K (Glassdoor est.),Ruby
Credera4.2,Architect - Software Engineering,"Dallas, TX",$89K - $135K (Glassdoor est.),Ruby
Cobenn Inc.4.7,Java Developer - 2 years exp PLANO TX Candidates ONLY,"Plano, TX",$50K - $100K (Employer est.),Ruby
Cyber Infotech4.2,Full Stack Developer,"Dallas, TX",$60K - $110K (Glassdoor est.),Ruby
Capital One4.0,Senior DevOps Engineer,"Plano, TX",,Ruby
Sirius XM3.5,Staff Software Engineer,"Irving, TX",$125K - $166K (Glassdoor est.),Ruby
,,,,Ruby
Emergent Software4.7,Umbraco Software Engineer (C# & .NET),"Houston, TX",$102K - $123K (Employer est.),Ruby
SDH Systems4.6,Devops Engineer,"Houston, TX",$90K (Employer est.),Ruby
ANB Systems3.3,Dev-Ops Engineer,"Houston, TX",$82K - $117K (Glassdoor est.),Ruby
RnD Solutions4.2,Ruby ON Rails Developer,"Houston, TX",$66K - $117K (Glassdoor est.),Ruby
UTHealth Houston3.8,Software Developer III/IV,"Houston, TX",$77K - $112K (Glassdoor est.),Ruby
VYNYL4.0,Experienced Software Developer,"Houston, TX",$72K - $120K (Glassdoor est.),Ruby
