,company,job-title,level
1327,PRIME,Director of Sales & Distribution - Mexico,Director
1328,"Del Monte Foods, Inc.",Regional Sales Manager - Foodservice,Associate
1329,DOLCE&GABBANA,Sales Manager,Not Applicable
1330,"Caesars Entertainment, Inc.",National Sales Manager,Mid-Senior level
1331,Toyota Material Handling,District Sales Manager,Not Applicable
1332,The Barton Partnership,"Senior Director, International Sales & Distribution Strategy",Director
1333,Congo Brands,Director of Sales (C-Store),Director
1334,Swatch Group,Regional Sales Manager,Associate
1335,Ventura Foods,"Regional Sales Manager II - Midwest (IL, IN, MN, MO, WI)",Mid-Senior level
1336,Boostlingo,Director of Sales And Business Development,Associate
1337,Magic Spoon,Director of Sales Strategy & Planning,Director
1338,Stony Brook University,Regional Sales Manager,Mid-Senior level
1339,WM Search Group,Regional Sales Manager,Mid-Senior level
1340,Congo Brands,Area Sales Manager,Mid-Senior level
1341,Davalyn Corporation,Sales Director,Director
1342,Davalyn Corporation,Sales Director,Director
1343,Stony Brook University,Regional Sales Manager,Mid-Senior level
1344,Stony Brook University,Regional Sales Manager,Mid-Senior level
1345,Congo Brands,Director of Sales & Distribution - Mexico,Director
1346,ForceBrands,Sales Director,Director
1347,"Medical Careers, Inc.",Regional Sales Manager,Mid-Senior level
1348,Morrison Express,Key Account Manager,Mid-Senior level
1349,DSI Recruiting Services,B2B Sales Manager - Food industry,Full-Time
1350,Milan Laser Hair Removal,Sales Manager,Entry level
1351,Karma and Luck,National Sales Training Manager,Full-Time
1352,Stony Brook University,Regional Sales Manager,Mid-Senior level
1353,Stony Brook University,Regional Sales Manager,Mid-Senior level
1354,Punch Studio,"Sales Account Manager (Home, Gift & Stationery Products)",Mid-Senior level
1355,"Executive Profiles, Inc.",Sales Manager,Full-Time
1356,Jamaica Bearings Group (JBG),Regional Sales Manager - Aerospace Division - West Coast,Mid-Senior level
1357,Bosch USA,Sales Development Manager,Associate
1358,EchoPark Automotive,General Sales Manager - Head of Sales,Mid-Senior level
1359,Electriq Power,Area Sales Manager,Director
1360,Satechi,Channel Account Manager,Mid-Senior level
1361,Cruz Foam,Senior Director/VP of Sales,Not Applicable
1362,Danone,"Key Account Manager, Kroger/Albertsons",Not Applicable
1363,Canada Goose,"Director of Wholesale Sales, North America",Associate
1364,Thomas James Homes,Area Sales Manager - Base salary $125 + Commission,Mid-Senior level
1365,Unilever,"National Account Manager, Non-Commercial",Mid-Senior level
1366,PRIME,Area Sales Manager,Mid-Senior level
1367,MillerKnoll,Global Account Manager,Mid-Senior level
1368,DOLCE&GABBANA,Sales Manager,Not Applicable
1369,Toyota Material Handling,District Sales Manager,Not Applicable
1370,The Barton Partnership,"Senior Director, International Sales & Distribution Strategy",Director
1371,Goodwin Recruiting,National Sales Manager,Executive
