,company,job-title,level
0,Meta,Software Engineer (University Grad),Not Applicable
1,Meta,Software Engineer (University Grad),Not Applicable
2,Meta,Software Engineer (University Grad),Not Applicable
3,Meta,Software Engineer (University Grad),Not Applicable
4,Notion,"Software Engineer, Intern (Summer 2024)",Internship
5,Meta,Software Engineer (University Grad),Not Applicable
6,Meta,Software Engineer (University Grad),Not Applicable
7,Meta,Software Engineer (University Grad),Not Applicable
8,Meta,"Software Engineer, Intern/Co-op",Internship
9,Netflix,Software Engineer (L5) - TV User Interface,Not Applicable
10,Discord,Software Engineer Intern - Design Systems,Internship
11,Oracle,Software Engineer,Entry level
12,Meta,"Software Engineer, Intern/Co-op",Internship
13,The Home Depot,SOFTWARE ENGINEER,Entry level
14,Discord,Software Engineer Intern - Perks (Core Product),Internship
15,Lockheed Martin,Software Engineer - Early Career,Entry level
16,Lockheed Martin,Software Engineer - Early Career,Entry level
17,Meta,"Software Engineer, Intern/Co-op",Internship
18,Lockheed Martin,Software Engineer - Early Career,Entry level
19,Lockheed Martin,Software Engineer - Early Career,Entry level
20,The Home Depot,Software Engineer,Entry level
21,The Home Depot,Software Engineer,Entry level
22,Lockheed Martin,Software Engineer - Early Career,Entry level
23,The Home Depot,Software Engineer,Entry level
24,Lockheed Martin,Software Engineer - Intern,Internship
25,Lockheed Martin,Software Engineer - Early Career,Entry level
26,Fleetio,Web Developer (Remote),Entry level
27,Lockheed Martin,Software Engineer Early Career,Entry level
28,Lockheed Martin,Software Engineer - Intern,Internship
29,Lee Enterprises,Junior Frontend Software Engineer,Entry level
30,Lockheed Martin,Software Engineer - Intern,Internship
31,The Home Depot,Software Engineer II (Remote),Entry level
32,The Home Depot,SOFTWARE ENGINEER 2,Entry level
33,Lockheed Martin,Software Engineer Intern,Internship
34,HeyGen,Fullstack Software Engineer,Entry level
35,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
36,Eulerity,Web Developer Intern,Internship
37,"ACES, Incorporated",Junior Software Engineer,Entry level
38,The Home Depot,Software Engineer,Entry level
39,The Home Depot,Software Engineer,Entry level
40,Lockheed Martin,Software Engineer - Intern,Internship
41,Vellum,Software Engineer - Frontend / Fullstack,Entry level
42,Lockheed Martin,Software Engineer - Early Career,Entry level
43,Fleetio,Web Developer (Remote),Entry level
44,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
45,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
46,Lockheed Martin,Software Engineer - Intern,Internship
47,Lee Enterprises,Junior Frontend Software Engineer,Entry level
48,"Happy Returns, a UPS Company",Software Engineer- Remote,Entry level
49,Planned Systems International,Jr Web Developer (Entry Level),Not Applicable
50,The Home Depot,Software Engineer II (Remote),Entry level
51,Lockheed Martin,Software Engineer- Intern,Internship
52,CBS Philadelphia,Full-Stack Software Engineer,Entry level
53,Fleetio,Web Developer (Remote),Entry level
54,Lockheed Martin,Software Engineer Early Career,Entry level
55,Lockheed Martin,Software Engineer - Intern,Internship
56,Lee Enterprises,Junior Frontend Software Engineer,Entry level
57,Lockheed Martin,Software Engineer - Intern,Internship
58,The Home Depot,SOFTWARE ENGINEER 2,Entry level
59,The Home Depot,Software Engineer II (Remote),Entry level
60,The Home Depot,SOFTWARE ENGINEER 2,Entry level
61,Lockheed Martin,Software Engineer Intern,Internship
62,HeyGen,Fullstack Software Engineer,Entry level
63,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
64,CBS Philadelphia,Full-Stack Software Engineer,Entry level
65,Lockheed Martin,Software Engineer,Entry level
66,Lockheed Martin,"Software Engineer - Early Career - Dallas, TX",Entry level
67,The Home Depot,Software Engineer,Entry level
68,Lockheed Martin,Software Engineer - Intern,Internship
69,Lockheed Martin,Software Engineer - Early Career,Entry level
70,Fleetio,Web Developer (Remote),Entry level
71,Lockheed Martin,Software Engineer Early Career,Entry level
72,"Happy Returns, a UPS Company",Software Engineer- Remote,Entry level
73,Lockheed Martin,Software Engineer - Intern,Internship
74,The Home Depot,Software Engineer II (Remote),Entry level
75,Lockheed Martin,Software Engineer Intern,Internship
76,HeyGen,Fullstack Software Engineer,Entry level
77,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
78,Eulerity,Web Developer Intern,Internship
79,Meta,Software Engineer (University Grad),Not Applicable
80,Meta,"Software Engineer, Intern/Co-op",Internship
81,Netflix,Software Engineer (L5) - TV User Interface,Not Applicable
82,Lockheed Martin,Software Engineer - Early Career,Entry level
83,Lockheed Martin,Software Engineer - Early Career,Entry level
84,Meta,"Software Engineer, Intern/Co-op",Internship
85,Lockheed Martin,Software Engineer - Early Career,Entry level
86,Lockheed Martin,Software Engineer - Early Career,Entry level
87,The Home Depot,Software Engineer,Entry level
88,The Home Depot,Software Engineer,Entry level
89,Lockheed Martin,Software Engineer - Early Career,Entry level
90,Discord,Software Engineer Intern - Security,Internship
91,Edison Lab,Software Engineer I,Full-Time
92,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
93,Amazon,Jr. Software Development Engineer,Mid-Senior level
94,Netflix,Software Engineer (L5) - TV User Interface,Not Applicable
95,Discord,Software Engineer Intern - Design Systems,Internship
96,Oracle,Software Engineer,Entry level
97,The Home Depot,SOFTWARE ENGINEER,Entry level
98,Discord,Software Engineer Intern - Perks (Core Product),Internship
99,Lockheed Martin,Software Engineer - Early Career,Entry level
100,Meta,"Software Engineer, Intern/Co-op",Internship
101,The Home Depot,Software Engineer,Entry level
102,Discord,Software Engineer Intern - Security,Internship
103,Edison Lab,Software Engineer I,Full-Time
104,Meta,Software Engineer (University Grad),Not Applicable
105,Meta,"Software Engineer, Intern/Co-op",Internship
106,Discord,Software Engineer Intern - Design Systems,Internship
107,Oracle,Software Engineer,Entry level
108,Microsoft,Software Engineer,Not Applicable
109,Lockheed Martin,Software Engineer - Early Career,Entry level
110,Discord,Software Engineer Intern - Perks (Core Product),Internship
111,Lockheed Martin,Software Engineer - Early Career,Entry level
112,Zogo,Software Engineer I,Entry level
113,The Home Depot,Software Engineer,Entry level
114,Discord,Software Engineer Intern - Security,Internship
115,Netflix,Software Engineer (L5) - TV User Interface,Not Applicable
116,Oracle,Software Engineer,Entry level
117,Meta,"Software Engineer, Intern/Co-op",Internship
118,Lockheed Martin,Software Engineer - Early Career,Entry level
119,Discord,Software Engineer Intern - Perks (Core Product),Internship
120,Lockheed Martin,Software Engineer - Early Career,Entry level
121,Lockheed Martin,Software Engineer - Early Career,Entry level
122,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
123,Lockheed Martin,Software Engineer Early Career,Entry level
124,Lockheed Martin,Software Engineer - Intern,Internship
125,The Home Depot,SOFTWARE ENGINEER 2,Entry level
126,Lockheed Martin,Software Engineer,Entry level
127,Altamira Technologies Corporation,Software Developer (All Levels),Mid-Senior level
128,Lockheed Martin,Software Engineer (Skill Level 1),Entry level
129,Lockheed Martin,Software Engineer – Intern,Internship
130,Lockheed Martin,Software Engineer Early Career,Entry level
131,Fremont Bank,Junior Software Engineer,Entry level
132,Lockheed Martin,Software Engineer - Intern,Internship
133,Lockheed Martin,Software Engineer - Intern,Internship
134,Fleetio,Web Developer (Remote),Entry level
135,Lockheed Martin,Software Engineer Early Career,Entry level
136,Lockheed Martin,Software Engineer - Intern,Internship
137,Lee Enterprises,Junior Frontend Software Engineer,Entry level
138,Planned Systems International,Jr Web Developer (Entry Level),Not Applicable
139,The Home Depot,SOFTWARE ENGINEER 2,Entry level
140,The Home Depot,Software Engineer II (Remote),Entry level
141,"Logyx, LLC",Jr. Full Stack Software Engineer,Entry level
142,HeyGen,Fullstack Software Engineer,Entry level
143,Lockheed Martin,Software Engineer Intern,Internship
144,CBS Philadelphia,Full-Stack Software Engineer,Entry level
145,Eulerity,Web Developer Intern,Internship
146,Lockheed Martin,Software Engineer,Entry level
147,Lockheed Martin,Software Engineer - Intern,Internship
148,The Home Depot,Software Engineer II (Remote),Entry level
149,The Home Depot,Software Engineer II (Remote),Entry level
150,Eulerity,Web Developer Intern,Internship
151,Lockheed Martin,Software Engineer - Intern,Internship
152,BioSpace,Software Engineer Intern,Internship
153,The Home Depot,Software Engineer II (Remote),Entry level
154,Altamira Technologies Corporation,Software Developer (All Levels),Mid-Senior level
155,Eqlipse Technologies,Junior Software Engineer - Fully Cleared,Entry level
156,Lockheed Martin,Software Engineer Early Career,Entry level
157,Lockheed Martin,Software Engineer - Intern,Internship
158,Lee Enterprises,Junior Frontend Software Engineer,Entry level
159,"Happy Returns, a UPS Company",Software Engineer- Remote,Entry level
160,Planned Systems International,Jr Web Developer (Entry Level),Not Applicable
161,The Home Depot,SOFTWARE ENGINEER 2,Entry level
162,Lockheed Martin,Software Engineer- Intern,Internship
163,"Logyx, LLC",Jr. Full Stack Software Engineer,Entry level
164,HeyGen,Fullstack Software Engineer,Entry level
165,Lockheed Martin,Software Engineer Intern,Internship
166,CBS Philadelphia,Full-Stack Software Engineer,Entry level
167,Eulerity,Web Developer Intern,Internship
168,"ACES, Incorporated",Junior Software Engineer,Entry level
169,Lockheed Martin,Software Engineer,Entry level
170,Altamira Technologies Corporation,Software Developer (All Levels),Mid-Senior level
171,Eqlipse Technologies,Junior Software Engineer - Fully Cleared,Entry level
172,Lockheed Martin,Software Engineer – Intern,Internship
173,Lockheed Martin,"Software Systems Engineer - Early Career - Orlando, FL",Entry level
174,Lockheed Martin,Software Engineer - College Intern,Internship
175,Lockheed Martin,Software Engineer - Early Career,Entry level
176,Meta,"Software Engineer, Intern/Co-op",Internship
177,The Home Depot,Software Engineer,Entry level
178,The Home Depot,Software Engineer,Entry level
179,Lee Enterprises,Junior Frontend Software Engineer,Entry level
180,Fleetio,Web Developer (Remote),Entry level
181,Zogo,Software Engineer I,Entry level
182,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
183,Lee Enterprises,Junior Frontend Software Engineer,Entry level
184,The Home Depot,SOFTWARE ENGINEER 2,Entry level
185,"Logyx, LLC",Jr. Full Stack Software Engineer,Entry level
186,CBS Philadelphia,Full-Stack Software Engineer,Entry level
187,Eulerity,Web Developer Intern,Internship
188,Lockheed Martin,Software Engineer - Intern,Internship
189,BioSpace,Software Engineer Intern,Internship
190,The Home Depot,Software Engineer II (Remote),Entry level
191,Altamira Technologies Corporation,Software Developer (All Levels),Mid-Senior level
192,Eqlipse Technologies,Junior Software Engineer - Fully Cleared,Entry level
193,Lockheed Martin,Software Engineer (Skill Level 1),Entry level
194,Lockheed Martin,Software Engineer – Intern,Internship
195,Lockheed Martin,"Software Systems Engineer - Early Career - Orlando, FL",Entry level
196,Lockheed Martin,Software Engineer - College Intern,Internship
197,Lockheed Martin,Software Engineer Intern,Internship
198,Planned Systems International,Jr Web Developer (Entry Level),Not Applicable
199,The Home Depot,Software Engineer II (Remote),Entry level
200,HeyGen,Fullstack Software Engineer,Entry level
201,Lockheed Martin,Software Engineer Intern,Internship
202,Lockheed Martin,Software Engineer – Intern,Internship
203,Lockheed Martin,"Software Systems Engineer - Early Career - Orlando, FL",Entry level
204,Lockheed Martin,Software Engineer - College Intern,Internship
205,Lockheed Martin,Software Engineer Intern,Internship
206,Qloo,Full-Stack Software Engineer (NodeJS),Not Applicable
207,Old Mission,College Graduates - Full-Time - Junior Software Engineer (2024),Entry level
208,The Home Depot,SOFTWARE ENGINEER 2,Entry level
209,The Home Depot,Software Engineer II (Remote),Entry level
210,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
211,CBS Philadelphia,Full-Stack Software Engineer,Entry level
212,Eulerity,Web Developer Intern,Internship
213,"ACES, Incorporated",Junior Software Engineer,Entry level
214,Lockheed Martin,Software Engineer,Entry level
215,The Home Depot,Software Engineer II (Remote),Entry level
216,Infinite Computer Solutions,Associate Software Engineer,Entry level
217,Lockheed Martin,Software Engineer (Skill Level 1),Entry level
218,Lockheed Martin,"Software Systems Engineer - Early Career - Orlando, FL",Entry level
219,Lockheed Martin,Software Engineer Intern,Internship
220,Qloo,Full-Stack Software Engineer (NodeJS),Not Applicable
221,ThisWay Global,Software Engineer,Entry level
222,Lockheed Martin,Software Engineer,Entry level
223,Eulerity,Web Developer Intern,Internship
224,UNLEADED,Front-end Web Developer/Engineer,Entry level
225,Hewlett Packard Enterprise,Frontend Software Engineer,Not Applicable
226,WeRide.ai,"Software Engineer Intern,Spring/Summer 2024",Not Applicable
227,Hewlett Packard Enterprise,Frontend Software Engineer,Not Applicable
228,Fusion Technology LLC,Junior Web Developer,Entry level
229,Lockheed Martin,"Software Systems Engineer - Early Career - Orlando, FL",Entry level
230,Hazel Health,Backend Software Engineer,Entry level
231,Refiberd,Software Engineer,Full-Time
232,Randstad Sourceright,Software Engineer - Java / Python (Full Stack/Back End),Entry level
233,Pelago (formerly Quit Genius),Front End Web Developer - Marketing,Not Applicable
234,The Home Depot,SOFTWARE ENGINEER 2,Entry level
235,Lockheed Martin,Software Engineer Intern,Internship
236,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
237,CBS Philadelphia,Full-Stack Software Engineer,Entry level
238,Eulerity,Web Developer Intern,Internship
239,Lockheed Martin,Software Engineer,Entry level
240,Altamira Technologies Corporation,Software Developer (All Levels),Mid-Senior level
241,Infinite Computer Solutions,Associate Software Engineer,Entry level
242,Lockheed Martin,Software Engineer (Skill Level 1),Entry level
243,Lockheed Martin,Software Engineer – Intern,Internship
244,Lockheed Martin,"Software Systems Engineer - Early Career - Orlando, FL",Entry level
245,Lockheed Martin,Software Engineer - College Intern,Internship
246,Lockheed Martin,Software Engineer Intern,Internship
247,ThisWay Global,Software Engineer,Entry level
248,Medra ,Full Stack Software Engineer,Not Applicable
249,Topia,Frontend Software Engineer,Entry level
250,Massachusetts Institute of Technology,Web Developer 1,Entry level
251,The Home Depot,Software Engineer,Entry level
252,Lee Enterprises,Junior Frontend Software Engineer,Entry level
253,Lockheed Martin,Software Engineer - Early Career,Entry level
254,Discord,Software Engineer Intern - Security,Internship
255,Fleetio,Web Developer (Remote),Entry level
256,Edison Lab,Software Engineer I,Full-Time
257,Zogo,Software Engineer I,Entry level
258,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
259,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
260,Lockheed Martin,Software Engineer Early Career,Entry level
261,Privy,Software Engineer,Full-Time
262,Johnson & Johnson,Software Engineer Intern,Not Applicable
263,Blend,Software Engineer,Not Applicable
264,Lockheed Martin,Software Engineer - Intern,Internship
265,Lee Enterprises,Junior Frontend Software Engineer,Entry level
266,Samsung Semiconductor,"Intern, Software Engineer",Internship
267,"Happy Returns, a UPS Company",Software Engineer- Remote,Entry level
268,Amazon,Jr. Software Development Engineer,Mid-Senior level
269,Veriforce,Software Engineer,Mid-Senior level
270,The Home Depot,SOFTWARE ENGINEER 2,Entry level
271,The Home Depot,Software Engineer II (Remote),Entry level
272,The Home Depot,SOFTWARE ENGINEER 2,Entry level
273,Lockheed Martin,Software Engineer - Early Career,Entry level
274,Discord,Software Engineer Intern - Security,Internship
275,Fleetio,Web Developer (Remote),Entry level
276,Privy,Software Engineer,Full-Time
277,Johnson & Johnson,Software Engineer Intern,Not Applicable
278,Blend,Software Engineer,Not Applicable
279,Discord,Software Engineer- Client Platforms Intern,Internship
280,Lockheed Martin,Software Engineer - Intern,Internship
281,Samsung Semiconductor,"Intern, Software Engineer",Internship
282,Planned Systems International,Jr Web Developer (Entry Level),Not Applicable
283,Veriforce,Software Engineer,Mid-Senior level
284,Lockheed Martin,Software Engineer - Intern,Internship
285,The Home Depot,SOFTWARE ENGINEER 2,Entry level
286,The Home Depot,Software Engineer II (Remote),Entry level
287,The Home Depot,SOFTWARE ENGINEER 2,Entry level
288,Peraton,Software Engineer (Entry-level),Not Applicable
289,Zogo,Software Engineer I,Entry level
290,Netflix,Software Engineer (L5) - Games Systems Engineering,Not Applicable
291,Lockheed Martin,Software Engineer - Intern,Internship
292,Discord,Software Engineer Intern - Security,Internship
293,Netflix,Software Engineer L4 - Resilience Engineering,Not Applicable
294,Peraton,Software Engineer (Entry-level),Not Applicable
295,Johnson & Johnson,Software Engineer Intern,Not Applicable
296,Adobe,Software Development Engineer,Entry level
297,Pinterest,"Software Engineer, Backend",Mid-Senior level
298,ServiceNow,Software Engineer,Not Applicable
299,Discord,Software Engineer- Client Platforms Intern,Internship
300,Fleetio,Web Developer (Remote),Entry level
301,Edison Lab,Software Engineer I,Full-Time
302,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
303,Lockheed Martin,Software Engineer Early Career,Entry level
304,Privy,Software Engineer,Full-Time
305,Microsoft,Software Engineer II - Front End,Not Applicable
306,Blend,Software Engineer,Not Applicable
307,Unilever,Software Engineer,Entry level
308,Lockheed Martin,Software Engineer - Intern,Internship
309,Fleetio,Web Developer (Remote),Entry level
310,Edison Lab,Software Engineer I,Full-Time
311,Zogo,Software Engineer I,Entry level
312,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
313,Amazon,Jr. Software Development Engineer,Mid-Senior level
314,Johnson & Johnson,Software Engineer Intern,Not Applicable
315,Discord,Software Engineer- Client Platforms Intern,Internship
316,Lockheed Martin,Software Engineer - Intern,Internship
317,Lee Enterprises,Junior Frontend Software Engineer,Entry level
318,Samsung Semiconductor,"Intern, Software Engineer",Internship
319,"Happy Returns, a UPS Company",Software Engineer- Remote,Entry level
320,Netflix,Software Engineer (L5) - Games Systems Engineering,Not Applicable
321,Veriforce,Software Engineer,Mid-Senior level
322,Lockheed Martin,Software Engineer - Intern,Internship
323,The Home Depot,SOFTWARE ENGINEER 2,Entry level
324,The Home Depot,Software Engineer II (Remote),Entry level
325,Peraton,Software Engineer (Entry-level),Not Applicable
326,Honeywell,Software Engineer I,Entry level
327,Discord,"Software Engineer Intern, Data Products",Internship
328,Edison Lab,Software Engineer I,Full-Time
329,Zogo,Software Engineer I,Entry level
330,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
331,Privy,Software Engineer,Full-Time
332,Amazon,Jr. Software Development Engineer,Mid-Senior level
333,Johnson & Johnson,Software Engineer Intern,Not Applicable
334,Blend,Software Engineer,Not Applicable
335,Discord,Software Engineer- Client Platforms Intern,Internship
336,Lockheed Martin,Software Engineer - Intern,Internship
337,Lee Enterprises,Junior Frontend Software Engineer,Entry level
338,Samsung Semiconductor,"Intern, Software Engineer",Internship
339,"Happy Returns, a UPS Company",Software Engineer- Remote,Entry level
340,Peraton,Software Engineer (Entry-level),Not Applicable
341,Honeywell,Software Engineer I,Entry level
342,Lockheed Martin,Software Engineer Intern,Internship
343,Discord,"Software Engineer Intern, Data Products",Internship
344,HeyGen,Fullstack Software Engineer,Entry level
345,Netflix,Software Engineer L4 - Resilience Engineering,Not Applicable
346,CBS Philadelphia,Full-Stack Software Engineer,Entry level
347,Eulerity,Web Developer Intern,Internship
348,"ACES, Incorporated",Junior Software Engineer,Entry level
349,Lockheed Martin,Software Engineer,Entry level
350,The Home Depot,Software Engineer II (Remote),Entry level
351,Lockheed Martin,Software Engineer – Intern,Internship
352,Lockheed Martin,"Software Systems Engineer - Early Career - Orlando, FL",Entry level
353,Lockheed Martin,Software Engineer - College Intern,Internship
354,Altamira Technologies Corporation,Software Developer (All Levels),Mid-Senior level
355,Lockheed Martin,Software Engineer Intern,Internship
356,Medra ,Full Stack Software Engineer,Not Applicable
357,Topia,Frontend Software Engineer,Entry level
358,Garda Capital Partners,Software Engineer Intern (Python),Internship
359,PDG Consulting,Software Engineer (Hybrid),Mid-Senior level
360,Urban Sky,Full Stack Software Engineer,Mid-Senior level
361,ThisWay Global,Software Engineer,Entry level
362,Massachusetts Institute of Technology,Web Developer 1,Entry level
363,FinTech LLC,Software Engineer- React UI,Entry level
364,Zogo,Software Engineer I,Entry level
365,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
366,Blend,Software Engineer,Not Applicable
367,Lockheed Martin,Software Engineer - Intern,Internship
368,Lee Enterprises,Junior Frontend Software Engineer,Entry level
369,"Happy Returns, a UPS Company",Software Engineer- Remote,Entry level
370,Netflix,Software Engineer (L5) - Games Systems Engineering,Not Applicable
371,Veriforce,Software Engineer,Mid-Senior level
372,Peraton,Software Engineer (Entry-level),Not Applicable
373,"Logyx, LLC",Jr. Full Stack Software Engineer,Entry level
374,Lockheed Martin,Software Engineer Intern,Internship
375,Privy,Software Engineer,Full-Time
376,Johnson & Johnson,Software Engineer Intern,Not Applicable
377,Samsung Semiconductor,"Intern, Software Engineer",Internship
378,"Happy Returns, a UPS Company",Software Engineer- Remote,Entry level
379,Amazon,Jr. Software Development Engineer,Mid-Senior level
380,Netflix,Software Engineer (L5) - Games Systems Engineering,Not Applicable
381,The Home Depot,Software Engineer II (Remote),Entry level
382,The Home Depot,SOFTWARE ENGINEER 2,Entry level
383,Peraton,Software Engineer (Entry-level),Not Applicable
384,Discord,"Software Engineer Intern, Data Products",Internship
385,Netflix,Software Engineer L4 - Resilience Engineering,Not Applicable
386,Lockheed Martin,Software Engineer,Entry level
387,Lockheed Martin,Software Engineer - Intern,Internship
388,Tenova,Software Engineer Intern - WIDE,Internship
389,Microsoft,Software Engineer,Not Applicable
390,The Home Depot,Software Engineer II (Remote),Entry level
391,Lockheed Martin,Software Engineer – Intern,Internship
392,Lockheed Martin,"Software Systems Engineer - Early Career - Orlando, FL",Entry level
393,Lockheed Martin,Software Engineer - College Intern,Internship
394,Lockheed Martin,Software Engineer Intern,Internship
395,McKesson,Software Developer/Engineer,Entry level
396,Old Mission,College Graduates - Full-Time - Junior Software Engineer (2024),Entry level
397,Topia,Frontend Software Engineer,Entry level
398,PDG Consulting,Software Engineer (Hybrid),Mid-Senior level
399,Urban Sky,Full Stack Software Engineer,Mid-Senior level
400,Open Systems Inc.,Software Engineer 1,Entry level
401,ThisWay Global,Software Engineer,Entry level
402,PopID,Frontend Software Engineer,Mid-Senior level
403,HLK,Web Developer,Not Applicable
404,KFC,Senior Software Engineer I,Not Applicable
405,The Walt Disney Company,Software Engineer,Mid-Senior level
406,Fusion Technology LLC,Junior Web Developer,Entry level
407,Starfish Space,Software Engineer (Recent Graduate) - Q1 2024 start dates,Entry level
408,Apptad Inc.,AI/ML Engineer,Entry level
409,Zifo,Data Scientist,Entry level
410,Altamira Technologies Corporation,Data Scientist,Mid-Senior level
411,"Aperio Global, LLC",Data Scientist,Entry level
412,minware,Junior Front End Engineer,Entry level
413,iLink Digital,Data Scientist,Entry level
414,UX Hires,Data Scientist- Remote (EU Time Zone),Entry level
415,Stage 4 Solutions,Data Scientist (Remote),Entry level
416,KNS IT GROUP,Clinical Research Data Scientist,Mid-Senior level
417,Vibrant Emotional Health,Data Scientist I,Entry level
418,Rapport Talents,Data Scientist (Utilities) |  Remote,Mid-Senior level
419,Saransh Inc,AI/ML Engineer-Data Scientist,Mid-Senior level
420,Cordial,"Machine Learning Engineer, Predictive",Entry level
421,Arthur,Machine Learning Engineer,Mid-Senior level
422,Marchex,Data Scientist,Entry level
423,CVS Health,Data Scientist,Entry level
424,STEMBoard,Data Scientist,Entry level
425,Konfío,Machine Learning Engineer,Not Applicable
426,Cloud BC Labs,Data Scientist with AI/ML,Mid-Senior level
427,Stellar Professionals,Data Scientist,Entry level
428,CVS Health,Data Scientist,Entry level
429,Platform Staffing Group,Data Scientist - Entry Level,Entry level
430,Starbucks,data scientist sr,Not Applicable
431,Parin Technologies,Data Scientist,Mid-Senior level
432,Mayvue Solutions,Data Scientist,Mid-Senior level
433,Experfy,Data Scientist,Entry level
434,Federal Aviation Administration,Data Scientist (Direct Hire),Entry level
435,Zifo,Data Scientist,Entry level
436,Beth Israel Lahey Health,Machine Learning/Artificial Intelligence Scientist - Ho Lab,Entry level
437,WindESCo,Data Scientist,Mid-Senior level
438,LeanDNA,Machine Learning Engineer,Mid-Senior level
439,Rapport Talents,Data Scientist (Utilities) |  Remote,Mid-Senior level
440,Saransh Inc,AI/ML Engineer-Data Scientist,Mid-Senior level
441,Cordial,"Machine Learning Engineer, Predictive",Entry level
442,Platform Staffing Group,Data Scientist - Entry Level,Entry level
443,Allied OneSource,Data Scientist,Entry level
444,Altamira Technologies Corporation,Data Scientist,Mid-Senior level
445,iLink Digital,Data Scientist,Entry level
446,LeanDNA,Machine Learning Engineer,Mid-Senior level
447,Professional Diversity Network,Research Scientist,Mid-Senior level
448,UX Hires,Data Scientist- Remote (EU Time Zone),Entry level
449,Stage 4 Solutions,Data Scientist (Remote),Entry level
450,KNS IT GROUP,Clinical Research Data Scientist,Mid-Senior level
451,Rapport Talents,Data Scientist (Utilities) |  Remote,Mid-Senior level
452,Saransh Inc,AI/ML Engineer-Data Scientist,Mid-Senior level
453,minware,Junior Front End Engineer,Entry level
454,Cordial,"Machine Learning Engineer, Predictive",Entry level
455,Marchex,Data Scientist,Entry level
456,minware,Junior Front End Engineer,Entry level
457,CVS Health,Data Scientist,Entry level
458,minware,Junior Front End Engineer,Entry level
459,CVS Health,Data Scientist,Entry level
460,Starbucks,data scientist sr,Not Applicable
461,iLink Digital,Data Scientist,Entry level
462,UX Hires,Data Scientist- Remote (EU Time Zone),Entry level
463,Rapport Talents,Data Scientist (Utilities) |  Remote,Mid-Senior level
464,Saransh Inc,AI/ML Engineer-Data Scientist,Mid-Senior level
465,Cordial,"Machine Learning Engineer, Predictive",Entry level
466,Marchex,Data Scientist,Entry level
467,CVS Health,Data Scientist,Entry level
468,Konfío,Machine Learning Engineer,Not Applicable
469,Cloud BC Labs,Data Scientist with AI/ML,Mid-Senior level
470,Stellar Professionals,Data Scientist,Entry level
471,Starbucks,data scientist sr,Not Applicable
472,Parin Technologies,Data Scientist,Mid-Senior level
473,"Acadia Technologies, Inc.",Data Scientist,Entry level
474,Mayvue Solutions,Data Scientist,Mid-Senior level
475,Lockheed Martin,Data Scientist,Entry level
476,Patreon,Data Scientist,Mid-Senior level
477,Saransh Inc,Data Scientist,Mid-Senior level
478,Saransh Inc,Data Scientist,Mid-Senior level
479,Workforce Connections,Data Scientist,Mid-Senior level
480,Thumbtack,"Data Scientist, Business Analytics",Not Applicable
481,Netflix,Data Scientist (L5) - Identity Algorithms,Not Applicable
482,William Blair,Data Scientist,Associate
483,Azurity Pharmaceuticals,Data Scientist,Entry level
484,Oracle,Data Scientist,Entry level
485,Ovative Group,Data Scientist,Entry level
486,Salesforce,"Associate, Decision Scientist (New Grad)",Not Applicable
487,Team Remotely Inc,Junior Data Scientist - US/Canada Residents Only,Entry level
488,Meta,"Data Scientist Intern, Product Analytics",Internship
489,Walmart,"Senior, Data Scientist",Mid-Senior level
490,Sparksoft Corporation,Frontend Developer,Associate
491,Dice,"Data Scientists, Product",Entry level
492,Fractal,Healthcare Data Scientist,Mid-Senior level
493,Concero,Junior Data Scientist,Mid-Senior level
494,Walmart,"Senior, Data Scientist - Omnichannel Supply Chain Strategy",Mid-Senior level
495,Apptad Inc.,AI/ML Engineer,Entry level
496,minware,Junior Front End Engineer,Entry level
497,Zifo,Data Scientist,Entry level
498,Team Remotely Inc,Python Developer - US/Canada Residents Only,Entry level
499,Altamira Technologies Corporation,Data Scientist,Mid-Senior level
500,"Aperio Global, LLC",Data Scientist,Entry level
501,Asana,"Senior Data Scientist, Marketing",Mid-Senior level
502,iLink Digital,Data Scientist,Entry level
503,minware,Junior Front End Engineer,Entry level
504,Stage 4 Solutions,Data Scientist (Remote),Entry level
505,"Stride, Inc.",Data Scientist (Virtual),Entry level
506,TikTok,Data Scientist - Trust & Safety,Not Applicable
507,Fractal,Data Scientist,Entry level
508,Walmart,"Staff, Data Scientist",Entry level
509,Talkspace,Machine Learning Engineer,Not Applicable
510,Millennium,Data Scientist,Entry level
511,Microsoft,"Data Scientist II - Insights, Data Engineering & Analytics Group (IDEAs)",Not Applicable
